#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2021-12-28 00:00:00
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status time-taken
2021-12-28 00:00:00 133.242.13.171 GET / - 80 - 70.34.218.218 Opera/9.80+(Windows+NT+6.1;+U;+pl)+Presto/2.7.62+Version/11.00 200 0 0 748
2021-12-28 00:00:52 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=17662175&y=-13520583 80 - 185.191.171.39 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 374
2021-12-28 00:01:01 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=14789375&y=-12030983 80 - 185.191.171.33 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 358
2021-12-28 00:01:04 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=9522575&y=-10195583 80 - 185.191.171.1 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 374
2021-12-28 00:01:05 133.242.13.171 GET /bunkazai/img/photo/辻尾家住宅.jpg X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=3b040b1c-695e-40b6-9b75-b7fd2f90c22b 80 - 133.242.13.171 - 404 0 0 0
2021-12-28 00:01:05 133.242.13.171 GET /bunkazai/syousai.php no=9037&X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=63b36f3f-a6f4-4626-aef8-2faa83d3eb33 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 514
2021-12-28 00:01:12 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=12288975&y=-14956983 80 - 185.191.171.45 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 358
2021-12-28 00:01:14 133.242.13.171 GET /wwwmap.asp cpd=3&ix=0&iy=0&lb=0&mode=1&size=3&x=6040575&y=-14147783 80 - 185.191.171.22 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 405
2021-12-28 00:01:20 133.242.13.171 GET /bunkazai/img/photo/内田家住宅.jpg X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=da408d78-1915-46b3-ba19-bcdd6933842c 80 - 133.242.13.171 - 200 0 64 0
2021-12-28 00:01:20 133.242.13.171 GET /bunkazai/syousai.php no=9009&X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=0d82ccf7-61c6-453f-9a2e-c9134646323b 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 234
2021-12-28 00:01:20 133.242.13.171 GET /bunkazai/img/photo/内田家住宅.jpg X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=da408d78-1915-46b3-ba19-bcdd6933842c 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 156
2021-12-28 00:01:25 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=11437775&y=-11578783 80 - 185.191.171.7 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 374
2021-12-28 00:01:49 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=19311375&y=-14345183 80 - 185.191.171.40 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 390
2021-12-28 00:01:51 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=10799375&y=-11020183 80 - 185.191.171.11 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 421
2021-12-28 00:01:53 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=15693775&y=-9610383 80 - 185.191.171.16 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 358
2021-12-28 00:01:55 133.242.13.171 GET /bunkazai/img/photo/辻尾家住宅.jpg X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=39198e46-1344-4a1c-b07a-e75de66a0d04 80 - 133.242.13.171 - 404 0 0 0
2021-12-28 00:01:55 133.242.13.171 GET /bunkazai/syousai.php no=9037&X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=779b9f2d-a40b-4946-875b-11ac55b3cb82 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 249
2021-12-28 00:02:02 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=4468575&y=-9051783 80 - 185.191.171.1 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 374
2021-12-28 00:02:05 133.242.13.171 GET /wwwmap.asp cpd=3&ix=0&iy=0&lb=0&mode=1&size=3&x=7912575&y=-15993783 80 - 185.191.171.19 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 405
2021-12-28 00:02:07 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=1755375&y=-17803183 80 - 185.191.171.10 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 374
2021-12-28 00:02:12 133.242.13.171 GET /wwwmap.asp cpd=3&ix=0&iy=0&lb=0&mode=1&size=3&x=7132575&y=-14784783 80 - 185.191.171.36 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 390
2021-12-28 00:02:18 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=9522575&y=-17723383 80 - 185.191.171.21 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 358
2021-12-28 00:02:30 133.242.13.171 GET /wwwmap.asp cpd=3&ix=0&iy=0&lb=0&mode=1&size=3&x=13346575&y=-12665783 80 - 185.191.171.20 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 374
2021-12-28 00:02:36 133.242.13.171 GET /bunkazai/img/photo/白川の石抱きカヤ.jpg X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=19ae4160-76ce-4013-ad88-91642fd03cec 80 - 133.242.13.171 - 404 0 0 0
2021-12-28 00:02:36 133.242.13.171 GET /bunkazai/syousai.php no=489&X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=ad3d0c44-c2ff-4749-b7fc-5edf84e29e33 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 202
2021-12-28 00:02:36 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=7713775&y=-18494783 80 - 185.191.171.38 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 421
2021-12-28 00:02:48 133.242.13.171 GET /wwwmap.asp cpd=3&ix=0&iy=0&lb=0&mode=1&size=3&x=3310575&y=-15382783 80 - 185.191.171.40 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 358
2021-12-28 00:02:51 133.242.13.171 GET /wwwmap.asp cpd=3&ix=0&iy=0&lb=0&mode=1&size=3&x=8640575&y=-14277783 80 - 185.191.171.26 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 358
2021-12-28 00:03:02 133.242.13.171 GET /wwwmap.asp cpd=3&ix=0&iy=0&lb=0&mode=1&size=3&x=10564575&y=-14823783 80 - 185.191.171.18 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 358
2021-12-28 00:03:12 133.242.13.171 GET /wwwmap.asp cpd=3&ix=0&iy=0&lb=0&mode=1&size=3&x=5832575&y=-14914783 80 - 185.191.171.13 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 374
2021-12-28 00:03:13 133.242.13.171 GET /wwwmap.asp cpd=3&ix=0&iy=0&lb=0&mode=1&size=3&x=11968575&y=-16045783 80 - 185.191.171.8 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 358
2021-12-28 00:03:15 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=2180975&y=-15515583 80 - 185.191.171.35 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 374
2021-12-28 00:03:19 133.242.13.171 GET /wwwmap.asp cpd=3&ix=0&iy=0&lb=0&mode=1&size=3&x=4090575&y=-15694783 80 - 185.191.171.10 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 421
2021-12-28 00:03:20 133.242.13.171 GET /bunkazai/bunkazai_json.php X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=97865a36-3df6-467c-9aa8-4d6586a31ed1 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 436
